,incident_id,victim_type_id
141,137019,0
142,137020,0
143,137021,0
144,137022,0
145,137023,0
146,137024,0
147,137025,0
148,137026,0
149,137027,0
150,137028,0
151,137029,0
152,137030,1
153,137031,1
154,137032,0
155,137033,0
156,137034,1
157,137035,0
158,137036,0
159,137037,0
160,137038,0
161,137039,0
162,137040,4
163,137041,0
164,137042,1
165,137043,0
166,137044,0
167,137045,0
168,137046,0
169,137047,0
170,137048,0
171,137049,0
172,137050,1
173,137051,0
174,137052,4
175,137053,0
176,137054,0
177,137055,4
178,137056,0
179,137057,0
180,137058,0
181,137059,0
182,137060,0
183,137061,0
184,137062,0
185,137063,0
186,137064,0
187,137065,0
188,137066,0
189,137067,1
190,137068,0
191,137069,4
192,137070,0
193,137071,0
194,137072,0
195,137073,0
196,137074,0
197,137075,0
198,137076,0
199,137077,0
200,137078,0
201,137079,2
202,137080,0
203,137081,0
204,137082,0
205,137083,0
206,137084,0
207,137085,0
208,137086,1
209,137087,0
210,137088,0
211,137089,0
212,137090,0
213,137091,0
214,137092,0
215,137093,0
216,137094,1
217,137095,0
218,137096,0
219,137097,0
220,137098,0
221,137099,0
222,137100,0
223,137101,1
224,137102,0
225,137103,0
226,137104,0
227,137105,0
228,137106,0
229,137107,0
230,137108,0
231,137109,0
232,137110,0
233,137111,0
234,137112,0
235,137113,0
236,137114,0
237,137115,0
238,137116,0
239,137117,0
240,141012,1
241,141013,0
242,141014,1
243,141083,0
244,141084,0
245,141085,0
246,141086,0
247,141087,0
248,141088,0
249,141089,0
250,141090,0
251,141091,0
252,141092,0
253,141093,0
254,141094,0
255,141095,0
256,141096,0
257,141097,0
258,141098,1
259,141099,1
260,141100,0
261,141101,0
262,141102,4
263,141103,0
264,141104,0
265,141105,0
266,141106,0
267,141107,0
268,141108,0
269,141109,4
270,141110,0
271,141111,0
272,141112,4
273,141112,0
274,141113,0
275,141114,0
276,141115,0
277,141116,0
278,141117,0
279,141118,0
280,141119,0
281,141120,0
282,141121,0
283,141122,0
284,141123,0
285,141124,0
286,141125,0
287,141126,0
288,141127,0
289,141128,0
290,141129,0
291,141130,0
292,141131,1
293,141132,0
294,141133,0
295,141134,0
296,141135,0
297,141136,0
298,141137,0
299,141138,0
300,141139,0
301,141140,0
302,141141,2
303,141142,0
304,141143,2
305,141144,0
306,141145,2
307,141146,0
308,141147,0
309,141148,0
310,141149,0
311,141150,0
312,141151,0
313,141152,0
314,141153,0
315,141154,0
316,137157,2
317,137158,0
318,137159,0
319,137160,0
320,137161,0
321,137162,0
322,137163,0
323,137164,0
324,137165,0
325,137166,0
326,137167,0
327,137168,0
328,137169,2
329,137170,0
330,137171,0
331,137172,0
332,137173,0
333,137174,1
334,137175,0
335,137176,0
336,137177,0
337,137178,0
338,137179,4
339,137180,2
340,137181,2
341,137182,0
342,137183,0
343,137184,0
344,137185,0
345,137186,0
346,137187,0
347,137188,0
348,137189,0
349,137190,0
350,137191,0
351,137192,0
352,137193,0
353,137194,0
354,137195,0
355,137196,0
356,137197,2
357,137198,0
358,137199,0
359,137200,4
360,137201,0
361,137202,0
362,137203,0
363,137204,0
364,137205,0
365,137206,0
366,137207,0
367,137208,0
368,137209,0
369,137210,0
370,137211,0
371,137212,0
372,137213,0
373,137214,2
374,137215,0
375,137216,0
376,137217,0
377,137218,0
378,137219,0
379,137220,0
380,137221,0
381,137222,0
382,137223,0
383,137224,0
384,137225,0
385,137226,1
386,137227,2
387,137228,0
388,137229,0
389,137230,1
390,137231,0
391,137232,0
392,137233,2
393,137234,0
394,137235,5
395,137236,0
396,137237,0
397,137238,0
398,137239,0
399,137240,1
400,137241,0
401,137242,0
402,137243,0
403,137244,0
404,137245,0
405,137246,0
406,137247,0
407,137248,0
408,137249,0
409,137250,0
410,137251,0
411,137252,0
412,137253,0
413,137254,0
414,137255,0
415,137256,0
416,137257,0
417,137258,2
418,137259,0
419,137260,0
420,137261,1
421,137262,0
422,137263,0
423,137264,0
424,137265,0
425,137266,0
426,137267,0
427,137268,0
428,137269,0
429,137270,0
430,137271,0
431,137272,0
432,137273,2
433,137274,0
434,137275,0
435,137276,0
436,137277,0
437,137278,0
438,137279,2
439,137280,2
440,137281,0
441,137282,0
442,137283,0
443,137284,0
444,137285,0
445,137286,0
446,137287,0
447,137288,0
448,137289,0
449,137290,0
450,137291,0
451,137292,0
452,137293,0
453,137294,0
454,137295,0
455,137296,0
456,137297,0
457,137298,0
458,137299,0
